# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# [adwin] Adaptive5(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[incremental],current_acc_[incremental],mean_acc_[adwin],current_acc_[adwin],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental],training_time_[adwin],testing_time_[adwin],total_running_time_[adwin]
100000,1.000000,1.000000,0.000000,0.000000,22.783155,0.000201,22.783356,19.687003,0.000132,19.687136
100001,1.000000,1.000000,0.500000,0.500000,22.783193,0.000478,22.783671,19.687156,0.000240,19.687396
100002,1.000000,1.000000,0.666667,0.666667,22.783220,0.000587,22.783807,19.687272,0.000325,19.687598
100003,1.000000,1.000000,0.750000,0.750000,22.783241,0.000690,22.783931,19.687426,0.000408,19.687834
100004,1.000000,1.000000,0.800000,0.800000,22.783263,0.000792,22.784055,19.687541,0.000490,19.688031
100005,1.000000,1.000000,0.666667,0.666667,22.783285,0.000894,22.784179,19.687669,0.000572,19.688242
100006,1.000000,1.000000,0.714286,0.714286,22.783307,0.000995,22.784302,19.687782,0.000657,19.688439
100007,1.000000,1.000000,0.750000,0.750000,22.783348,0.001730,22.785078,19.687988,0.000802,19.688790
100008,1.000000,1.000000,0.777778,0.777778,22.783383,0.001871,22.785254,19.688177,0.000931,19.689108
100009,1.000000,1.000000,0.800000,0.800000,22.783411,0.002016,22.785427,19.688346,0.001047,19.689393
100010,0.909091,0.909091,0.818182,0.818182,22.783440,0.002134,22.785574,19.688481,0.001162,19.689644
100011,0.916667,0.916667,0.833333,0.833333,22.783466,0.002245,22.785711,19.688668,0.001253,19.689921
100012,0.923077,0.923077,0.846154,0.846154,22.783488,0.002357,22.785846,19.688818,0.001346,19.690163
100013,0.928571,0.928571,0.857143,0.857143,22.783527,0.002606,22.786134,19.689023,0.001492,19.690516
100014,0.933333,0.933333,0.866667,0.866667,22.783553,0.002729,22.786282,19.689164,0.001584,19.690749
100015,0.937500,0.937500,0.875000,0.875000,22.783578,0.002863,22.786441,19.689326,0.001683,19.691010
100016,0.882353,0.882353,0.882353,0.882353,22.783602,0.002973,22.786575,19.689451,0.001775,19.691226
100017,0.833333,0.833333,0.888889,0.888889,22.783624,0.003080,22.786704,19.689592,0.001867,19.691459
100018,0.842105,0.842105,0.894737,0.894737,22.783646,0.003188,22.786834,19.689716,0.001960,19.691676
100019,0.850000,0.850000,0.850000,0.850000,22.783686,0.003421,22.787106,19.689943,0.002097,19.692040
100020,0.809524,0.809524,0.809524,0.809524,22.783717,0.003563,22.787281,19.690085,0.002210,19.692294
100021,0.818182,0.818182,0.818182,0.818182,22.783745,0.003689,22.787435,19.690234,0.002307,19.692541
100022,0.826087,0.826087,0.826087,0.826087,22.854682,0.003813,22.858494,19.690475,0.002478,19.692953
100023,0.833333,0.833333,0.833333,0.833333,22.854699,0.003957,22.858656,19.690626,0.002571,19.693197
100024,0.840000,0.840000,0.840000,0.840000,22.854716,0.004103,22.858819,19.690762,0.002675,19.693437
