# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [incremental 1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='incremental_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[incremental 1],current_acc_[incremental 1],training_time_[incremental 1],testing_time_[incremental 1],total_running_time_[incremental 1]
100000,1.000000,1.000000,1.506660,0.002180,1.508839
100001,0.500000,0.500000,1.506679,0.003385,1.510065
100002,0.666667,0.666667,1.506703,0.004674,1.511377
100003,0.500000,0.500000,1.506725,0.005894,1.512619
100004,0.400000,0.400000,1.506751,0.007521,1.514272
100005,0.333333,0.333333,1.506785,0.009958,1.516743
100006,0.428571,0.428571,1.506820,0.011485,1.518305
100007,0.375000,0.375000,1.506841,0.012816,1.519658
100008,0.333333,0.333333,1.506862,0.014131,1.520992
100009,0.400000,0.400000,1.506887,0.015495,1.522382
100010,0.454545,0.454545,1.506916,0.016863,1.523779
100011,0.500000,0.500000,1.506940,0.018222,1.525162
100012,0.461538,0.461538,1.506961,0.019416,1.526377
100013,0.428571,0.428571,1.506981,0.020670,1.527651
100014,0.466667,0.466667,1.507014,0.023122,1.530137
100015,0.437500,0.437500,1.507037,0.024488,1.531525
100016,0.470588,0.470588,1.507061,0.025921,1.532983
100017,0.500000,0.500000,1.507087,0.027474,1.534561
100018,0.473684,0.473684,1.507118,0.029202,1.536320
100019,0.500000,0.500000,1.507142,0.030571,1.537713
100020,0.476190,0.476190,1.507163,0.031742,1.538905
100021,0.500000,0.500000,1.507183,0.032913,1.540096
100022,0.478261,0.478261,1.512242,0.034422,1.546663
100023,0.500000,0.500000,1.512261,0.036162,1.548423
100024,0.480000,0.480000,1.512278,0.037439,1.549717
100025,0.500000,0.500000,1.512293,0.038789,1.551082
100026,0.518519,0.518519,1.512309,0.040125,1.552434
100027,0.535714,0.535714,1.512332,0.042261,1.554592
100028,0.551724,0.551724,1.512351,0.043737,1.556088
100029,0.533333,0.533333,1.512367,0.045032,1.557399
100030,0.516129,0.516129,1.512394,0.046523,1.558916
100031,0.500000,0.500000,1.512410,0.047878,1.560288
100032,0.484848,0.484848,1.512425,0.049164,1.561589
100033,0.500000,0.500000,1.512441,0.050745,1.563186
100034,0.485714,0.485714,1.512456,0.052105,1.564561
100035,0.500000,0.500000,1.512473,0.053498,1.565971
100036,0.513514,0.513514,1.512496,0.056083,1.568578
100037,0.526316,0.526316,1.512512,0.057369,1.569881
100038,0.512821,0.512821,1.512526,0.058559,1.571085
100039,0.500000,0.500000,1.512544,0.060128,1.572671
100040,0.487805,0.487805,1.512560,0.061672,1.574232
100041,0.500000,0.500000,1.512576,0.062947,1.575523
100042,0.488372,0.488372,1.512592,0.064232,1.576824
100043,0.477273,0.477273,1.512609,0.065531,1.578140
100044,0.488889,0.488889,1.512624,0.066682,1.579307
100045,0.500000,0.500000,1.512648,0.068998,1.581646
100046,0.489362,0.489362,1.512666,0.070481,1.583147
100047,0.500000,0.500000,1.512682,0.071902,1.584585
100048,0.510204,0.510204,1.512700,0.073247,1.585947
100049,0.520000,0.520000,1.512716,0.074520,1.587235
100050,0.529412,0.529412,1.512732,0.075804,1.588536
100051,0.538462,0.538462,1.512748,0.077082,1.589830
100052,0.528302,0.528302,1.512765,0.078405,1.591169
100053,0.518519,0.518519,1.512788,0.079972,1.592760
100054,0.527273,0.527273,1.512807,0.081461,1.594268
100055,0.535714,0.535714,1.512824,0.082738,1.595562
100056,0.543860,0.543860,1.512840,0.084013,1.596852
100057,0.551724,0.551724,1.512856,0.085348,1.598203
100058,0.542373,0.542373,1.512880,0.086888,1.599768
100059,0.533333,0.533333,1.512898,0.088320,1.601218
100060,0.540984,0.540984,1.512915,0.089621,1.602536
100061,0.548387,0.548387,1.512933,0.091024,1.603957
100062,0.539683,0.539683,1.512955,0.092571,1.605526
100063,0.531250,0.531250,1.512975,0.094011,1.606986
100064,0.523077,0.523077,1.512992,0.095300,1.608292
100065,0.530303,0.530303,1.513009,0.096456,1.609466
100066,0.537313,0.537313,1.513029,0.097831,1.610860
100067,0.544118,0.544118,1.513046,0.099103,1.612148
100068,0.550725,0.550725,1.513061,0.100240,1.613301
100069,0.557143,0.557143,1.513076,0.101364,1.614440
100070,0.563380,0.563380,1.513093,0.102543,1.615636
100071,0.569444,0.569444,1.513108,0.103699,1.616807
100072,0.561644,0.561644,1.513126,0.104961,1.618087
100073,0.567568,0.567568,1.513145,0.106524,1.619669
100074,0.573333,0.573333,1.513164,0.108110,1.621274
100075,0.578947,0.578947,1.513181,0.109425,1.622605
100076,0.571429,0.571429,1.513197,0.110591,1.623788
100077,0.564103,0.564103,1.513217,0.111760,1.624977
100078,0.569620,0.569620,1.513232,0.112918,1.626151
100079,0.562500,0.562500,1.513248,0.114076,1.627324
100080,0.567901,0.567901,1.513263,0.115266,1.628529
100081,0.560976,0.560976,1.513283,0.116723,1.630006
100082,0.566265,0.566265,1.513312,0.118915,1.632226
100083,0.559524,0.559524,1.513334,0.120696,1.634031
100084,0.564706,0.564706,1.513352,0.122024,1.635376
100085,0.569767,0.569767,1.513369,0.123301,1.636670
100086,0.574713,0.574713,1.513385,0.124568,1.637954
100087,0.579545,0.579545,1.513403,0.125895,1.639298
100088,0.573034,0.573034,1.513425,0.127263,1.640688
100089,0.577778,0.577778,1.513441,0.128434,1.641874
100090,0.582418,0.582418,1.513460,0.129588,1.643048
100091,0.576087,0.576087,1.513479,0.131116,1.644595
100092,0.569892,0.569892,1.513497,0.132424,1.645920
100093,0.563830,0.563830,1.513513,0.133569,1.647081
100094,0.557895,0.557895,1.513528,0.134895,1.648423
100095,0.562500,0.562500,1.513545,0.136182,1.649727
100096,0.556701,0.556701,1.513565,0.137548,1.651112
100097,0.551020,0.551020,1.513582,0.138826,1.652408
100098,0.545455,0.545455,1.513600,0.140324,1.653925
100099,0.540000,0.540000,1.513616,0.141487,1.655103
100100,0.544554,0.544554,1.513636,0.142880,1.656516
100101,0.549020,0.549020,1.513654,0.144275,1.657930
100102,0.553398,0.553398,1.513671,0.145567,1.659239
100103,0.557692,0.557692,1.513686,0.146750,1.660436
100104,0.552381,0.552381,1.513701,0.148095,1.661796
100105,0.547170,0.547170,1.513718,0.149314,1.663032
100106,0.551402,0.551402,1.513744,0.150676,1.664420
100107,0.555556,0.555556,1.513762,0.152099,1.665861
100108,0.559633,0.559633,1.513779,0.153323,1.667102
100109,0.563636,0.563636,1.513798,0.154729,1.668527
100110,0.567568,0.567568,1.513817,0.156168,1.669985
100111,0.562500,0.562500,1.513834,0.157426,1.671260
100112,0.566372,0.566372,1.513851,0.158667,1.672519
100113,0.570175,0.570175,1.513868,0.159914,1.673782
100114,0.565217,0.565217,1.513885,0.161140,1.675025
100115,0.560345,0.560345,1.513902,0.162378,1.676280
100116,0.555556,0.555556,1.513919,0.163788,1.677707
100117,0.559322,0.559322,1.513936,0.165124,1.679060
100118,0.563025,0.563025,1.513955,0.166819,1.680774
100119,0.558333,0.558333,1.513974,0.168094,1.682068
100120,0.561983,0.561983,1.513990,0.169268,1.683258
100121,0.565574,0.565574,1.514006,0.170396,1.684402
100122,0.569106,0.569106,1.514023,0.171662,1.685685
100123,0.572581,0.572581,1.514042,0.172973,1.687015
100124,0.576000,0.576000,1.514059,0.174262,1.688321
100125,0.571429,0.571429,1.514077,0.175607,1.689684
100126,0.566929,0.566929,1.514094,0.176843,1.690937
100127,0.570312,0.570312,1.514111,0.178088,1.692199
100128,0.573643,0.573643,1.514128,0.179274,1.693402
100129,0.576923,0.576923,1.514149,0.180503,1.694652
100130,0.572519,0.572519,1.514175,0.182706,1.696880
100131,0.568182,0.568182,1.514195,0.184205,1.698400
100132,0.571429,0.571429,1.514216,0.185585,1.699801
100133,0.567164,0.567164,1.514236,0.186832,1.701068
100134,0.570370,0.570370,1.514253,0.187982,1.702234
100135,0.573529,0.573529,1.514270,0.189147,1.703417
100136,0.569343,0.569343,1.514287,0.190363,1.704650
100137,0.572464,0.572464,1.514306,0.191574,1.705880
100138,0.568345,0.568345,1.514325,0.193192,1.707517
100139,0.564286,0.564286,1.514344,0.194669,1.709013
100140,0.567376,0.567376,1.514362,0.195945,1.710308
100141,0.570423,0.570423,1.514384,0.197350,1.711734
100142,0.566434,0.566434,1.514401,0.198554,1.712955
100143,0.569444,0.569444,1.514426,0.200161,1.714587
100144,0.572414,0.572414,1.514445,0.201535,1.715980
100145,0.575342,0.575342,1.514463,0.203054,1.717517
100146,0.578231,0.578231,1.514480,0.204346,1.718827
100147,0.574324,0.574324,1.514497,0.205593,1.720090
100148,0.577181,0.577181,1.514518,0.207201,1.721719
100149,0.580000,0.580000,1.514535,0.208482,1.723017
100150,0.576159,0.576159,1.514557,0.209815,1.724372
100151,0.572368,0.572368,1.514575,0.211182,1.725758
100152,0.575163,0.575163,1.514596,0.212734,1.727330
100153,0.571429,0.571429,1.514620,0.214476,1.729096
100154,0.574194,0.574194,1.514640,0.215837,1.730477
100155,0.570513,0.570513,1.514662,0.217124,1.731786
100156,0.573248,0.573248,1.514685,0.218591,1.733277
100157,0.575949,0.575949,1.514708,0.219878,1.734585
100158,0.578616,0.578616,1.514731,0.221382,1.736113
100159,0.581250,0.581250,1.514749,0.222749,1.737498
100160,0.577640,0.577640,1.514767,0.224008,1.738775
100161,0.574074,0.574074,1.514785,0.225318,1.740103
100162,0.570552,0.570552,1.514802,0.226570,1.741371
100163,0.573171,0.573171,1.514821,0.227865,1.742687
100164,0.575758,0.575758,1.514840,0.229079,1.743919
100165,0.578313,0.578313,1.514858,0.230491,1.745349
100166,0.574850,0.574850,1.514878,0.231921,1.746799
100167,0.571429,0.571429,1.514897,0.233241,1.748138
100168,0.573964,0.573964,1.514920,0.234713,1.749632
100169,0.576471,0.576471,1.514937,0.235969,1.750905
100170,0.578947,0.578947,1.514955,0.237200,1.752154
100171,0.575581,0.575581,1.514972,0.238356,1.753328
100172,0.578035,0.578035,1.514992,0.239978,1.754971
100173,0.580460,0.580460,1.515014,0.241814,1.756828
100174,0.582857,0.582857,1.515044,0.244276,1.759320
100175,0.585227,0.585227,1.515070,0.246738,1.761808
100176,0.587571,0.587571,1.515090,0.248116,1.763206
100177,0.584270,0.584270,1.515111,0.249572,1.764682
100178,0.586592,0.586592,1.515136,0.251100,1.766235
100179,0.588889,0.588889,1.515155,0.252492,1.767647
100180,0.591160,0.591160,1.515173,0.253933,1.769106
100181,0.593407,0.593407,1.515192,0.255311,1.770503
100182,0.595628,0.595628,1.515223,0.257492,1.772714
100183,0.592391,0.592391,1.515246,0.259231,1.774477
100184,0.594595,0.594595,1.515266,0.260772,1.776038
100185,0.591398,0.591398,1.515287,0.262262,1.777549
100186,0.588235,0.588235,1.515306,0.263772,1.779079
100187,0.585106,0.585106,1.515329,0.265437,1.780766
100188,0.587302,0.587302,1.515347,0.266794,1.782142
100189,0.589474,0.589474,1.515371,0.268406,1.783777
100190,0.591623,0.591623,1.515394,0.270331,1.785725
100191,0.593750,0.593750,1.515418,0.271887,1.787305
100192,0.595855,0.595855,1.515437,0.273350,1.788787
100193,0.592784,0.592784,1.515456,0.274919,1.790375
100194,0.589744,0.589744,1.515484,0.276815,1.792300
100195,0.591837,0.591837,1.515506,0.278539,1.794044
100196,0.593909,0.593909,1.515525,0.280016,1.795541
100197,0.590909,0.590909,1.515551,0.281731,1.797282
100198,0.592965,0.592965,1.515573,0.283612,1.799185
100199,0.590000,0.590000,1.515592,0.284953,1.800545
100200,0.587065,0.585000,1.515615,0.286624,1.802240
100201,0.584158,0.585000,1.515639,0.288447,1.804087
100202,0.586207,0.585000,1.515659,0.289834,1.805493
100203,0.588235,0.590000,1.515678,0.291272,1.806950
100204,0.590244,0.595000,1.515726,0.292674,1.808399
100205,0.592233,0.600000,1.515747,0.294113,1.809860
100206,0.594203,0.600000,1.515773,0.296147,1.811920
100207,0.596154,0.605000,1.515798,0.297923,1.813721
100208,0.598086,0.610000,1.515817,0.299283,1.815100
100209,0.595238,0.605000,1.515835,0.300705,1.816540
100210,0.597156,0.605000,1.515853,0.302123,1.817976
100211,0.594340,0.600000,1.515874,0.303663,1.819537
100212,0.596244,0.605000,1.515892,0.304977,1.820868
100213,0.593458,0.605000,1.515923,0.307099,1.823021
100214,0.590698,0.600000,1.515950,0.309406,1.825356
100215,0.587963,0.600000,1.515969,0.310980,1.826948
100216,0.589862,0.600000,1.515987,0.312297,1.828284
100217,0.591743,0.600000,1.516006,0.313815,1.829821
100218,0.589041,0.600000,1.516024,0.315360,1.831384
100219,0.586364,0.595000,1.516049,0.316984,1.833033
100220,0.588235,0.600000,1.516082,0.318432,1.834514
100221,0.585586,0.595000,1.516109,0.320152,1.836261
100222,0.582960,0.595000,1.516134,0.321986,1.838120
100223,0.584821,0.595000,1.516155,0.323656,1.839811
100224,0.586667,0.600000,1.516177,0.325556,1.841732
100225,0.584071,0.595000,1.516198,0.327130,1.843328
100226,0.585903,0.595000,1.516223,0.328549,1.844772
100227,0.583333,0.590000,1.516243,0.330174,1.846416
100228,0.580786,0.585000,1.516267,0.331652,1.847918
100229,0.582609,0.590000,1.516337,0.333493,1.849831
100230,0.580087,0.590000,1.516364,0.335329,1.851693
100231,0.577586,0.590000,1.516384,0.336727,1.853111
100232,0.579399,0.595000,1.516429,0.338063,1.854492
100233,0.581197,0.595000,1.516478,0.339805,1.856283
100234,0.582979,0.600000,1.516499,0.341347,1.857846
100235,0.584746,0.600000,1.516523,0.343034,1.859557
100236,0.582278,0.595000,1.516551,0.345058,1.861609
100237,0.584034,0.595000,1.516578,0.347301,1.863880
100238,0.585774,0.600000,1.516599,0.348810,1.865409
100239,0.583333,0.600000,1.516618,0.350260,1.866878
100240,0.585062,0.605000,1.516639,0.351769,1.868408
100241,0.582645,0.600000,1.516660,0.353430,1.870089
100242,0.584362,0.605000,1.516687,0.355000,1.871686
100243,0.586066,0.610000,1.516706,0.356436,1.873142
100244,0.587755,0.610000,1.516734,0.358685,1.875420
100245,0.585366,0.605000,1.516771,0.360407,1.877178
100246,0.587045,0.610000,1.516794,0.361982,1.878775
100247,0.588710,0.610000,1.516814,0.363508,1.880322
100248,0.590361,0.610000,1.516836,0.364951,1.881786
100249,0.592000,0.610000,1.516856,0.366437,1.883292
100250,0.589641,0.605000,1.516875,0.367861,1.884736
100251,0.591270,0.605000,1.516907,0.369812,1.886719
100252,0.592885,0.610000,1.516934,0.372424,1.889358
100253,0.594488,0.615000,1.516957,0.374070,1.891026
100254,0.592157,0.610000,1.516977,0.375624,1.892601
100255,0.593750,0.610000,1.516996,0.376924,1.893920
100256,0.591440,0.605000,1.517014,0.378442,1.895456
100257,0.593023,0.605000,1.517036,0.379785,1.896820
100258,0.594595,0.610000,1.517056,0.381480,1.898537
100259,0.596154,0.615000,1.517096,0.383950,1.901046
100260,0.597701,0.615000,1.517118,0.385527,1.902646
100261,0.599237,0.615000,1.517159,0.386866,1.904026
100262,0.600760,0.620000,1.517179,0.388415,1.905593
100263,0.598485,0.620000,1.517199,0.390057,1.907256
100264,0.600000,0.625000,1.517221,0.391782,1.909003
100265,0.601504,0.625000,1.517240,0.393225,1.910466
100266,0.602996,0.625000,1.517265,0.395090,1.912354
100267,0.604478,0.625000,1.517292,0.397084,1.914376
100268,0.602230,0.620000,1.517316,0.398711,1.916027
100269,0.600000,0.615000,1.517338,0.400260,1.917598
100270,0.601476,0.615000,1.517361,0.401846,1.919208
100271,0.602941,0.615000,1.517390,0.404883,1.922272
100272,0.600733,0.615000,1.517411,0.406404,1.923816
100273,0.598540,0.610000,1.517442,0.408680,1.926121
100274,0.596364,0.605000,1.517471,0.413034,1.930505
100275,0.594203,0.600000,1.517502,0.415258,1.932759
100276,0.595668,0.605000,1.517526,0.416948,1.934474
100277,0.593525,0.605000,1.517557,0.422290,1.939847
100278,0.594982,0.605000,1.517613,0.424937,1.942549
100279,0.596429,0.610000,1.517635,0.426641,1.944275
100280,0.594306,0.605000,1.517659,0.428342,1.946002
100281,0.595745,0.610000,1.517690,0.430643,1.948334
100282,0.597173,0.610000,1.517771,0.432595,1.950367
100283,0.598592,0.615000,1.517821,0.435273,1.953093
100284,0.596491,0.610000,1.517847,0.437393,1.955239
100285,0.597902,0.610000,1.517871,0.439210,1.957081
100286,0.599303,0.610000,1.517918,0.442309,1.960226
100287,0.597222,0.605000,1.517956,0.445145,1.963101
100288,0.598616,0.610000,1.517986,0.447055,1.965041
100289,0.596552,0.605000,1.518019,0.449279,1.967297
100290,0.594502,0.600000,1.518048,0.451483,1.969532
100291,0.595890,0.605000,1.518075,0.453542,1.971617
100292,0.593857,0.605000,1.518107,0.456975,1.975082
100293,0.595238,0.610000,1.518131,0.458601,1.976732
100294,0.596610,0.615000,1.518160,0.460772,1.978932
100295,0.594595,0.610000,1.518189,0.464760,1.982949
100296,0.595960,0.615000,1.518209,0.466155,1.984364
100297,0.597315,0.620000,1.518237,0.468614,1.986851
100298,0.598662,0.625000,1.518258,0.470071,1.988330
100299,0.600000,0.630000,1.518280,0.471637,1.989917
100300,0.601329,0.630000,1.518301,0.473121,1.991422
100301,0.602649,0.630000,1.518323,0.474562,1.992885
100302,0.603960,0.630000,1.518343,0.476104,1.994448
100303,0.601974,0.625000,1.518363,0.477487,1.995849
100304,0.603279,0.630000,1.518383,0.478975,1.997358
100305,0.604575,0.635000,1.518410,0.481527,1.999938
100306,0.605863,0.635000,1.518434,0.483296,2.001730
100307,0.607143,0.635000,1.518456,0.484833,2.003289
100308,0.608414,0.635000,1.518475,0.486090,2.004565
100309,0.609677,0.635000,1.518495,0.487676,2.006170
100310,0.610932,0.635000,1.518514,0.489164,2.007678
100311,0.612179,0.640000,1.518536,0.490854,2.009389
100312,0.610224,0.635000,1.518622,0.493762,2.012385
100313,0.608280,0.630000,1.518647,0.495704,2.014352
100314,0.609524,0.635000,1.518668,0.497272,2.015940
100315,0.607595,0.635000,1.518702,0.498831,2.017533
100316,0.605678,0.635000,1.518724,0.500896,2.019620
100317,0.606918,0.635000,1.518749,0.502524,2.021274
100318,0.608150,0.635000,1.518772,0.504023,2.022795
100319,0.606250,0.635000,1.518801,0.507045,2.025846
100320,0.607477,0.635000,1.518823,0.508511,2.027334
100321,0.605590,0.630000,1.518869,0.510139,2.029009
100322,0.606811,0.630000,1.518890,0.511557,2.030447
100323,0.608025,0.630000,1.518912,0.513222,2.032134
100324,0.606154,0.625000,1.518931,0.514513,2.033444
100325,0.604294,0.625000,1.518954,0.516144,2.035098
100326,0.602446,0.625000,1.518983,0.518914,2.037897
100327,0.603659,0.625000,1.519009,0.520532,2.039541
100328,0.601824,0.620000,1.519033,0.522148,2.041181
