# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.294936,0.001091,1.296027,1.237801,0.001205,1.239006,1.337644,0.001815,1.339459,1.309053,0.002528,1.311581,1.426075,0.004530,1.430605,4.627148,0.000147,4.627294
100001,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.294968,0.001675,1.296643,1.237819,0.001659,1.239478,1.337657,0.002907,1.340564,1.309066,0.004487,1.313552,1.426086,0.008386,1.434472,4.627161,0.000254,4.627416
100002,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.294996,0.002049,1.297045,1.237833,0.002163,1.239996,1.337670,0.004008,1.341678,1.309078,0.006833,1.315911,1.426099,0.012554,1.438652,4.627175,0.000355,4.627530
100003,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,1.295027,0.002336,1.297363,1.237849,0.002584,1.240433,1.337685,0.004960,1.342645,1.309092,0.008862,1.317954,1.426112,0.016842,1.442954,4.627190,0.000468,4.627658
100004,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,1.295055,0.002637,1.297692,1.237895,0.003010,1.240905,1.337699,0.006023,1.343722,1.309104,0.010870,1.319975,1.426128,0.020544,1.446672,4.627204,0.000564,4.627768
100005,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.166667,0.166667,0.166667,0.166667,1.295080,0.002955,1.298035,1.237909,0.003579,1.241489,1.337711,0.007034,1.344745,1.309116,0.012916,1.322032,1.426139,0.024684,1.450823,4.627217,0.000653,4.627870
100006,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.285714,0.285714,0.285714,0.285714,0.285714,0.285714,1.295112,0.003237,1.298349,1.237927,0.004085,1.242012,1.337726,0.008348,1.346073,1.309130,0.015163,1.324293,1.426160,0.029004,1.455163,4.627233,0.000771,4.628004
100007,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000,1.295146,0.003711,1.298857,1.237942,0.004527,1.242469,1.337767,0.009450,1.347217,1.309143,0.017165,1.326308,1.426172,0.033120,1.459292,4.627248,0.000875,4.628123
100008,0.333333,0.333333,0.333333,0.333333,0.444444,0.444444,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.295175,0.004015,1.299190,1.237959,0.004954,1.242913,1.337780,0.010421,1.348201,1.309157,0.019112,1.328269,1.426185,0.037374,1.463560,4.627262,0.000982,4.628244
100009,0.400000,0.400000,0.400000,0.400000,0.500000,0.500000,0.300000,0.300000,0.400000,0.400000,0.400000,0.400000,1.295207,0.004329,1.299536,1.237974,0.005388,1.243362,1.337794,0.011400,1.349194,1.309170,0.021545,1.330715,1.426199,0.041547,1.467745,4.627277,0.001093,4.628370
