# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_hype_f.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349277,0.001135,1.350412,1.380102,0.001066,1.381168,1.375805,0.001658,1.377463,1.439092,0.003310,1.442402,1.542474,0.004904,1.547378,4.848463,0.000141,4.848604
100001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349313,0.001641,1.350954,1.380121,0.001623,1.381745,1.375822,0.002908,1.378729,1.439113,0.005475,1.444588,1.542493,0.009106,1.551599,4.848482,0.000244,4.848726
100002,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349344,0.001927,1.351271,1.380138,0.002040,1.382179,1.375838,0.003885,1.379723,1.439128,0.007349,1.446477,1.542507,0.012995,1.555502,4.848497,0.000346,4.848843
100003,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349378,0.002224,1.351602,1.380157,0.002478,1.382636,1.375854,0.005006,1.380860,1.439145,0.009232,1.448376,1.542523,0.017226,1.559749,4.848513,0.000456,4.848968
100004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349407,0.002538,1.351945,1.380174,0.002970,1.383145,1.375868,0.006158,1.382026,1.439158,0.011421,1.450579,1.542537,0.021534,1.564071,4.848527,0.000559,4.849086
100005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349433,0.002836,1.352269,1.380190,0.003407,1.383597,1.375883,0.007141,1.383024,1.439172,0.013321,1.452493,1.542551,0.025375,1.567926,4.848541,0.000660,4.849202
100006,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349457,0.003130,1.352587,1.380206,0.003843,1.384049,1.375895,0.008128,1.384023,1.439185,0.015284,1.454469,1.542563,0.029154,1.571717,4.848554,0.000747,4.849301
100007,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349493,0.003777,1.353270,1.380224,0.004406,1.384630,1.375912,0.009274,1.385186,1.439201,0.017485,1.456686,1.542581,0.033497,1.576078,4.848572,0.000855,4.849427
100008,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349526,0.004097,1.353623,1.380242,0.004847,1.385089,1.375928,0.010265,1.386193,1.439216,0.019669,1.458885,1.542595,0.037487,1.580082,4.848590,0.000961,4.849551
100009,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.349552,0.004400,1.353952,1.380257,0.005285,1.385542,1.375941,0.011262,1.387203,1.439228,0.021574,1.460802,1.542612,0.041259,1.583870,4.848603,0.001051,4.849654
100010,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.909091,0.909091,1.349580,0.004742,1.354321,1.380274,0.005785,1.386059,1.375958,0.012312,1.388270,1.439242,0.023464,1.462706,1.542625,0.044987,1.587612,4.848616,0.001140,4.849757
100011,0.916667,0.916667,1.000000,1.000000,0.916667,0.916667,1.000000,1.000000,1.000000,1.000000,0.916667,0.916667,1.349606,0.005034,1.354640,1.380292,0.006212,1.386504,1.375973,0.013284,1.389258,1.439256,0.025538,1.464794,1.542639,0.049239,1.591878,4.848631,0.001243,4.849875
