# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=5, update_strategy='replace')
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=10, update_strategy='replace')
# [ensemble 25] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=25, update_strategy='replace')
# [ensemble 50] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=50, update_strategy='replace')
# [ensemble 100] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=100, update_strategy='replace')
# [incremental] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='ensemblesize_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[ensemble 25],current_acc_[ensemble 25],mean_acc_[ensemble 50],current_acc_[ensemble 50],mean_acc_[ensemble 100],current_acc_[ensemble 100],mean_acc_[incremental],current_acc_[incremental],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[ensemble 25],testing_time_[ensemble 25],total_running_time_[ensemble 25],training_time_[ensemble 50],testing_time_[ensemble 50],total_running_time_[ensemble 50],training_time_[ensemble 100],testing_time_[ensemble 100],total_running_time_[ensemble 100],training_time_[incremental],testing_time_[incremental],total_running_time_[incremental]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.298874,0.001266,1.300139,1.292093,0.001419,1.293511,1.326809,0.002173,1.328981,1.360172,0.008418,1.368590,1.486693,0.007073,1.493766,4.528816,0.000160,4.528976
100001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.298914,0.001800,1.300714,1.292108,0.002171,1.294278,1.326820,0.006008,1.332828,1.360182,0.012855,1.373037,1.486703,0.012746,1.499449,4.528828,0.000300,4.529128
100002,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,1.298946,0.003414,1.302360,1.292121,0.003761,1.295881,1.326831,0.011501,1.338332,1.360193,0.019813,1.380007,1.486713,0.020386,1.507099,4.528844,0.000443,4.529287
100003,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,1.298974,0.003892,1.302866,1.292133,0.004372,1.296506,1.326842,0.013807,1.340649,1.360203,0.022316,1.382519,1.486727,0.025070,1.511797,4.528855,0.000564,4.529419
100004,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,1.299004,0.004547,1.303551,1.292147,0.005452,1.297599,1.326853,0.015123,1.341976,1.360214,0.024536,1.384750,1.486741,0.034058,1.520799,4.528872,0.000745,4.529617
100005,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1.299052,0.005080,1.304132,1.292162,0.006069,1.298230,1.326864,0.016303,1.343168,1.360224,0.026903,1.387127,1.486752,0.041703,1.528454,4.528885,0.000877,4.529761
100006,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,1.299083,0.005480,1.304563,1.292176,0.006997,1.299174,1.326876,0.018525,1.345401,1.360236,0.033909,1.394145,1.486774,0.056641,1.543415,4.528908,0.001015,4.529923
100007,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,1.299115,0.006006,1.305121,1.292190,0.007505,1.299695,1.326887,0.019722,1.346610,1.360247,0.036003,1.396249,1.486784,0.062803,1.549587,4.528924,0.001160,4.530084
100008,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,1.299148,0.006421,1.305569,1.292204,0.008029,1.300232,1.326900,0.021330,1.348230,1.360258,0.037952,1.398210,1.486794,0.069598,1.556392,4.528940,0.001517,4.530458
100009,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,1.299178,0.006890,1.306068,1.292217,0.008645,1.300861,1.326910,0.022862,1.349772,1.360269,0.039985,1.400254,1.486804,0.076653,1.563458,4.528952,0.001641,4.530593
