# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 0.01] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.01] Adaptive4(learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.05] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.05] Adaptive4(learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.1] Adaptive4(learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.5] Adaptive4(learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='lrate_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 0.01],current_acc_[ensemble 0.01],mean_acc_[incremental 0.01],current_acc_[incremental 0.01],mean_acc_[ensemble 0.05],current_acc_[ensemble 0.05],mean_acc_[incremental 0.05],current_acc_[incremental 0.05],mean_acc_[ensemble 0.1],current_acc_[ensemble 0.1],mean_acc_[incremental 0.1],current_acc_[incremental 0.1],mean_acc_[ensemble 0.5],current_acc_[ensemble 0.5],mean_acc_[incremental 0.5],current_acc_[incremental 0.5],training_time_[ensemble 0.01],testing_time_[ensemble 0.01],total_running_time_[ensemble 0.01],training_time_[incremental 0.01],testing_time_[incremental 0.01],total_running_time_[incremental 0.01],training_time_[ensemble 0.05],testing_time_[ensemble 0.05],total_running_time_[ensemble 0.05],training_time_[incremental 0.05],testing_time_[incremental 0.05],total_running_time_[incremental 0.05],training_time_[ensemble 0.1],testing_time_[ensemble 0.1],total_running_time_[ensemble 0.1],training_time_[incremental 0.1],testing_time_[incremental 0.1],total_running_time_[incremental 0.1],training_time_[ensemble 0.5],testing_time_[ensemble 0.5],total_running_time_[ensemble 0.5],training_time_[incremental 0.5],testing_time_[incremental 0.5],total_running_time_[incremental 0.5]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.584710,0.002250,1.586960,4.986871,0.000163,4.987033,1.343795,0.002092,1.345887,4.831732,0.000162,4.831894,1.329688,0.001917,1.331605,4.733717,0.000153,4.733870,1.345545,0.002119,1.347664,4.624746,0.000182,4.624928
100001,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.584745,0.004072,1.588816,4.986887,0.000288,4.987175,1.343809,0.003529,1.347338,4.831746,0.000270,4.832016,1.329702,0.003163,1.332865,4.733729,0.000254,4.733984,1.345557,0.003345,1.348902,4.624759,0.000287,4.625046
100002,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,1.584776,0.005443,1.590218,4.986903,0.000408,4.987311,1.343823,0.004850,1.348672,4.831760,0.000378,4.832138,1.329715,0.004541,1.334255,4.733743,0.000364,4.734107,1.345569,0.004680,1.350249,4.624772,0.000384,4.625156
100003,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.584799,0.006656,1.591455,4.986917,0.000504,4.987421,1.343835,0.005997,1.349832,4.831772,0.000469,4.832241,1.329726,0.005686,1.335412,4.733754,0.000453,4.734207,1.345582,0.005830,1.351413,4.624783,0.000468,4.625252
100004,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.600000,0.600000,0.400000,0.400000,1.584826,0.008228,1.593054,4.986933,0.000617,4.987550,1.343849,0.007314,1.351163,4.831786,0.000581,4.832366,1.329739,0.006994,1.336733,4.733768,0.000564,4.734332,1.345595,0.007130,1.352725,4.624796,0.000576,4.625372
100005,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.500000,0.500000,0.333333,0.333333,1.584862,0.009508,1.594370,4.986950,0.000724,4.987674,1.343863,0.008853,1.352716,4.831798,0.000713,4.832511,1.329752,0.008373,1.338125,4.733781,0.000674,4.734455,1.345608,0.008306,1.353914,4.624809,0.000668,4.625477
100006,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.571429,0.571429,0.428571,0.428571,1.584888,0.010886,1.595774,4.986965,0.000828,4.987793,1.343876,0.010028,1.353904,4.831810,0.000809,4.832619,1.329763,0.009538,1.339301,4.733792,0.000763,4.734556,1.345619,0.009465,1.355084,4.624821,0.000761,4.625582
100007,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.500000,0.500000,0.375000,0.375000,1.584922,0.012361,1.597283,4.986984,0.000935,4.987920,1.343891,0.011321,1.355213,4.831824,0.000913,4.832737,1.329778,0.010861,1.340639,4.733806,0.000879,4.734685,1.345633,0.010772,1.356406,4.624834,0.000873,4.625707
100008,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.555556,0.555556,0.444444,0.444444,1.584947,0.013594,1.598541,4.986999,0.001031,4.988031,1.343904,0.012478,1.356382,4.831836,0.001006,4.832843,1.329794,0.012019,1.341813,4.733819,0.000971,4.734790,1.345645,0.012016,1.357661,4.624846,0.000977,4.625823
100009,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.300000,0.300000,0.500000,0.500000,0.500000,0.500000,1.584972,0.015181,1.600154,4.987015,0.001133,4.988148,1.343919,0.013794,1.357713,4.831850,0.001101,4.832951,1.329806,0.013327,1.343133,4.733831,0.001071,4.734902,1.345657,0.013329,1.358986,4.624858,0.001069,4.625927
100010,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.363636,0.363636,0.454545,0.454545,0.545455,0.545455,1.584999,0.016597,1.601597,4.987032,0.001233,4.988265,1.343933,0.015095,1.359029,4.831864,0.001210,4.833074,1.329820,0.014625,1.344445,4.733844,0.001178,4.735022,1.345670,0.014617,1.360287,4.624871,0.001173,4.626044
100011,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.416667,0.416667,0.416667,0.416667,0.583333,0.583333,1.585029,0.017989,1.603018,4.987049,0.001338,4.988387,1.343948,0.016389,1.360336,4.831878,0.001332,4.833210,1.329834,0.016005,1.345839,4.733857,0.001288,4.735145,1.345683,0.015927,1.361610,4.624884,0.001265,4.626149
