# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 0.01] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.01] Adaptive4(learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.05] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.05] Adaptive4(learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.1] Adaptive4(learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.5] Adaptive4(learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='max_depth_hyper.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 0.01],current_acc_[ensemble 0.01],mean_acc_[incremental 0.01],current_acc_[incremental 0.01],mean_acc_[ensemble 0.05],current_acc_[ensemble 0.05],mean_acc_[incremental 0.05],current_acc_[incremental 0.05],mean_acc_[ensemble 0.1],current_acc_[ensemble 0.1],mean_acc_[incremental 0.1],current_acc_[incremental 0.1],mean_acc_[ensemble 0.5],current_acc_[ensemble 0.5],mean_acc_[incremental 0.5],current_acc_[incremental 0.5],training_time_[ensemble 0.01],testing_time_[ensemble 0.01],total_running_time_[ensemble 0.01],training_time_[incremental 0.01],testing_time_[incremental 0.01],total_running_time_[incremental 0.01],training_time_[ensemble 0.05],testing_time_[ensemble 0.05],total_running_time_[ensemble 0.05],training_time_[incremental 0.05],testing_time_[incremental 0.05],total_running_time_[incremental 0.05],training_time_[ensemble 0.1],testing_time_[ensemble 0.1],total_running_time_[ensemble 0.1],training_time_[incremental 0.1],testing_time_[incremental 0.1],total_running_time_[incremental 0.1],training_time_[ensemble 0.5],testing_time_[ensemble 0.5],total_running_time_[ensemble 0.5],training_time_[incremental 0.5],testing_time_[incremental 0.5],total_running_time_[incremental 0.5]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585289,0.002162,1.587451,5.675615,0.000138,5.675753,1.455058,0.001826,1.456884,5.349014,0.000130,5.349144,1.429537,0.001796,1.431333,5.034437,0.000124,5.034562,1.394954,0.002855,1.397810,4.049564,0.000149,4.049712
100001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585327,0.003625,1.588952,5.675634,0.000240,5.675874,1.455074,0.003016,1.458090,5.349030,0.000234,5.349264,1.429551,0.002988,1.432539,5.034454,0.000218,5.034672,1.394971,0.004039,1.399011,4.049578,0.000239,4.049817
100002,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585358,0.004838,1.590196,5.675653,0.000334,5.675987,1.455092,0.004166,1.459257,5.349047,0.000382,5.349429,1.429567,0.004483,1.434050,5.034469,0.000318,5.034787,1.394987,0.005339,1.400326,4.049593,0.000336,4.049929
100003,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585386,0.006234,1.591619,5.675672,0.000432,5.676103,1.455108,0.005461,1.460569,5.349062,0.000493,5.349556,1.429582,0.005775,1.435358,5.034484,0.000432,5.034915,1.395002,0.006633,1.401635,4.049607,0.000431,4.050038
100004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585414,0.007444,1.592858,5.675691,0.000522,5.676213,1.455124,0.006631,1.461754,5.349078,0.000580,5.349657,1.429598,0.006931,1.436529,5.034499,0.000560,5.035060,1.395017,0.008001,1.403018,4.049622,0.000548,4.050170
100005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585439,0.008905,1.594344,5.675708,0.000619,5.676327,1.455140,0.007911,1.463050,5.349093,0.000673,5.349766,1.429613,0.008212,1.437825,5.034514,0.000652,5.035166,1.395031,0.009284,1.404315,4.049637,0.000640,4.050276
100006,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585463,0.010114,1.595577,5.675724,0.000705,5.676430,1.455152,0.009066,1.464218,5.349105,0.000756,5.349861,1.429625,0.009421,1.439046,5.034526,0.000731,5.035257,1.395043,0.010422,1.405465,4.049648,0.000719,4.050367
100007,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.875000,0.875000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585504,0.011778,1.597282,5.675750,0.000820,5.676570,1.455169,0.010396,1.465565,5.349122,0.000859,5.349982,1.429641,0.010755,1.440396,5.034543,0.000833,5.035375,1.395060,0.011757,1.406817,4.049666,0.000816,4.050482
100008,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.888889,0.888889,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.585535,0.013324,1.598859,5.675768,0.000924,5.676692,1.455188,0.011721,1.466909,5.349138,0.000959,5.350097,1.429657,0.012053,1.441710,5.034558,0.000928,5.035486,1.395075,0.013048,1.408123,4.049682,0.000910,4.050592
100009,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.900000,0.900000,1.000000,1.000000,1.000000,1.000000,0.900000,0.900000,0.900000,0.900000,1.585561,0.014532,1.600093,5.675788,0.001020,5.676807,1.455201,0.012878,1.468079,5.349152,0.001048,5.350199,1.429671,0.013216,1.442887,5.034569,0.001012,5.035581,1.395087,0.014215,1.409302,4.049694,0.000995,4.050689
