# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 0.01] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.01] Adaptive4(learning_rate=0.01, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.05] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.05] Adaptive4(learning_rate=0.05, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.1] Adaptive4(learning_rate=0.1, max_depth=6, max_window_size=1000, min_window_size=1)
# [ensemble 0.5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 0.5] Adaptive4(learning_rate=0.5, max_depth=6, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='lrate_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 0.01],current_acc_[ensemble 0.01],mean_acc_[incremental 0.01],current_acc_[incremental 0.01],mean_acc_[ensemble 0.05],current_acc_[ensemble 0.05],mean_acc_[incremental 0.05],current_acc_[incremental 0.05],mean_acc_[ensemble 0.1],current_acc_[ensemble 0.1],mean_acc_[incremental 0.1],current_acc_[incremental 0.1],mean_acc_[ensemble 0.5],current_acc_[ensemble 0.5],mean_acc_[incremental 0.5],current_acc_[incremental 0.5],training_time_[ensemble 0.01],testing_time_[ensemble 0.01],total_running_time_[ensemble 0.01],training_time_[incremental 0.01],testing_time_[incremental 0.01],total_running_time_[incremental 0.01],training_time_[ensemble 0.05],testing_time_[ensemble 0.05],total_running_time_[ensemble 0.05],training_time_[incremental 0.05],testing_time_[incremental 0.05],total_running_time_[incremental 0.05],training_time_[ensemble 0.1],testing_time_[ensemble 0.1],total_running_time_[ensemble 0.1],training_time_[incremental 0.1],testing_time_[incremental 0.1],total_running_time_[incremental 0.1],training_time_[ensemble 0.5],testing_time_[ensemble 0.5],total_running_time_[ensemble 0.5],training_time_[incremental 0.5],testing_time_[incremental 0.5],total_running_time_[incremental 0.5]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.278737,0.002256,1.280993,4.261638,0.000134,4.261772,1.233140,0.001719,1.234860,4.302025,0.000123,4.302148,1.218821,0.001713,1.220535,4.090799,0.000123,4.090922,1.323617,0.001706,1.325322,4.038141,0.000126,4.038267
100001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.278766,0.003661,1.282427,4.261653,0.000236,4.261889,1.233152,0.002885,1.236037,4.302035,0.000213,4.302248,1.218832,0.003212,1.222043,4.090809,0.000234,4.091042,1.323626,0.002988,1.326614,4.038150,0.000227,4.038378
100002,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,1.278789,0.004856,1.283645,4.261676,0.000330,4.262006,1.233167,0.004022,1.237189,4.302085,0.000299,4.302383,1.218851,0.004331,1.223182,4.090820,0.000320,4.091141,1.323637,0.004201,1.327838,4.038172,0.000333,4.038505
100003,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,1.278809,0.006067,1.284876,4.261689,0.000425,4.262114,1.233177,0.005162,1.238340,4.302094,0.000387,4.302481,1.218860,0.005452,1.224313,4.090829,0.000405,4.091234,1.323646,0.005351,1.328997,4.038181,0.000416,4.038597
100004,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.600000,0.600000,1.278834,0.007257,1.286091,4.261703,0.000514,4.262218,1.233191,0.006300,1.239491,4.302105,0.000475,4.302580,1.218871,0.006771,1.225643,4.090840,0.000510,4.091350,1.323656,0.006647,1.330303,4.038191,0.000522,4.038712
100005,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.666667,0.666667,1.278855,0.008471,1.287325,4.261716,0.000603,4.262319,1.233201,0.007555,1.240756,4.302115,0.000565,4.302680,1.218881,0.007918,1.226799,4.090850,0.000597,4.091447,1.323666,0.007785,1.331451,4.038202,0.000609,4.038811
100006,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.714286,0.714286,1.278877,0.009811,1.288687,4.261729,0.000723,4.262452,1.233213,0.008863,1.242075,4.302127,0.000652,4.302779,1.218892,0.009265,1.228157,4.090864,0.000693,4.091557,1.323677,0.009090,1.332767,4.038212,0.000701,4.038913
100007,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.750000,0.750000,1.278904,0.011195,1.290099,4.261743,0.000820,4.262563,1.233224,0.010009,1.243233,4.302138,0.000745,4.302883,1.218903,0.010399,1.229302,4.090874,0.000785,4.091659,1.323687,0.010225,1.333913,4.038222,0.000790,4.039012
100008,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.777778,0.777778,1.278927,0.012388,1.291315,4.261757,0.000908,4.262665,1.233236,0.011144,1.244380,4.302149,0.000834,4.302983,1.218913,0.011704,1.230617,4.090884,0.000916,4.091800,1.323697,0.011743,1.335441,4.038231,0.000892,4.039123
100009,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.800000,0.800000,1.278949,0.013716,1.292665,4.261770,0.001003,4.262773,1.233248,0.012399,1.245646,4.302160,0.000925,4.303085,1.218924,0.012954,1.231878,4.090894,0.001004,4.091898,1.323707,0.012975,1.336682,4.038242,0.000984,4.039225
