# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1] Adaptive4(learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 5] Adaptive4(learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1)
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 10] Adaptive4(learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1)
# [ensemble 15] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 15] Adaptive4(learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='max_depth.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 1],current_acc_[ensemble 1],mean_acc_[incremental 1],current_acc_[incremental 1],mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[incremental 5],current_acc_[incremental 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[incremental 10],current_acc_[incremental 10],mean_acc_[ensemble 15],current_acc_[ensemble 15],mean_acc_[incremental 15],current_acc_[incremental 15],training_time_[ensemble 1],testing_time_[ensemble 1],total_running_time_[ensemble 1],training_time_[incremental 1],testing_time_[incremental 1],total_running_time_[incremental 1],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[incremental 5],testing_time_[incremental 5],total_running_time_[incremental 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[incremental 10],testing_time_[incremental 10],total_running_time_[incremental 10],training_time_[ensemble 15],testing_time_[ensemble 15],total_running_time_[ensemble 15],training_time_[incremental 15],testing_time_[incremental 15],total_running_time_[incremental 15]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.297621,0.002878,1.300498,2.158311,0.000180,2.158490,1.323538,0.002703,1.326242,3.761240,0.000148,3.761388,1.402919,0.002010,1.404929,8.239017,0.000145,8.239162,1.428416,0.001989,1.430405,9.308398,0.000201,9.308599
100001,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,1.000000,0.500000,0.500000,1.297656,0.004745,1.302401,2.158328,0.000278,2.158605,1.323555,0.004070,1.327624,3.761253,0.000246,3.761499,1.402933,0.003364,1.406297,8.239030,0.000264,8.239293,1.428430,0.003284,1.431713,9.308412,0.000327,9.308739
100002,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,1.000000,1.000000,0.333333,0.333333,1.297686,0.005977,1.303663,2.158344,0.000362,2.158705,1.323568,0.005257,1.328825,3.761266,0.000335,3.761601,1.402945,0.004604,1.407550,8.239042,0.000373,8.239415,1.428441,0.004454,1.432895,9.308424,0.000440,9.308864
100003,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.500000,0.500000,0.250000,0.250000,0.750000,0.750000,0.250000,0.250000,1.297712,0.007552,1.305264,2.158360,0.000447,2.158807,1.323581,0.006604,1.330185,3.761278,0.000437,3.761715,1.402958,0.005925,1.408883,8.239054,0.000479,8.239533,1.428455,0.005620,1.434074,9.308436,0.000544,9.308980
100004,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.200000,0.200000,0.600000,0.600000,0.200000,0.200000,1.297735,0.008742,1.306477,2.158375,0.000526,2.158900,1.323594,0.007757,1.331351,3.761299,0.000516,3.761815,1.402973,0.007068,1.410041,8.239066,0.000573,8.239639,1.428466,0.006756,1.435221,9.308448,0.000638,9.309086
100005,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.166667,0.166667,0.666667,0.666667,0.166667,0.166667,1.297769,0.009984,1.307753,2.158392,0.000606,2.158998,1.323607,0.009436,1.333043,3.761312,0.000618,3.761929,1.402986,0.008477,1.411463,8.239081,0.000698,8.239779,1.428480,0.008152,1.436632,9.308461,0.000758,9.309219
100006,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.285714,0.285714,0.714286,0.714286,0.285714,0.285714,1.297800,0.011247,1.309048,2.158408,0.000720,2.159128,1.323622,0.010919,1.334540,3.761326,0.000712,3.762038,1.403000,0.009786,1.412786,8.239098,0.000808,8.239906,1.428493,0.009445,1.437938,9.308475,0.000869,9.309345
100007,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.625000,0.625000,0.250000,0.250000,1.297835,0.012932,1.310767,2.158427,0.000810,2.159237,1.323639,0.012259,1.335898,3.761339,0.000809,3.762148,1.403014,0.011072,1.414085,8.239111,0.000923,8.240034,1.428506,0.010607,1.439113,9.308488,0.000979,9.309467
100008,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.444444,0.444444,0.333333,0.333333,0.666667,0.666667,0.222222,0.222222,1.297859,0.014160,1.312019,2.158442,0.000889,2.159331,1.323652,0.013427,1.337079,3.761352,0.000897,3.762249,1.403026,0.012221,1.415247,8.239123,0.001025,8.240148,1.428518,0.011761,1.440280,9.308500,0.001097,9.309597
100009,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.500000,0.500000,0.400000,0.400000,0.700000,0.700000,0.300000,0.300000,1.297884,0.015414,1.313298,2.158459,0.000968,2.159427,1.323665,0.014606,1.338271,3.761365,0.000985,3.762350,1.403037,0.013383,1.416421,8.239135,0.001114,8.240249,1.428530,0.012912,1.441442,9.308512,0.001195,9.309707
100010,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.454545,0.636364,0.636364,0.363636,0.363636,1.297910,0.016634,1.314544,2.158475,0.001046,2.159521,1.323684,0.015768,1.339452,3.761377,0.001067,3.762445,1.403050,0.014546,1.417596,8.239147,0.001225,8.240372,1.428542,0.014126,1.442668,9.308524,0.001298,9.309823
100011,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.416667,0.416667,0.666667,0.666667,0.333333,0.333333,1.297940,0.018032,1.315973,2.158493,0.001134,2.159627,1.323698,0.017087,1.340784,3.761392,0.001155,3.762547,1.403066,0.015886,1.418953,8.239161,0.001339,8.240500,1.428555,0.015352,1.443907,9.308537,0.001413,9.309950
100012,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.461538,0.384615,0.384615,0.615385,0.615385,0.384615,0.384615,1.297968,0.019290,1.317258,2.158510,0.001216,2.159726,1.323712,0.018272,1.341984,3.761405,0.001240,3.762645,1.403080,0.017074,1.420154,8.239176,0.001439,8.240616,1.428568,0.016527,1.445095,9.308549,0.001517,9.310066
100013,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.571429,0.571429,0.428571,0.428571,1.298007,0.021304,1.319312,2.158528,0.001359,2.159887,1.323726,0.020098,1.343824,3.761418,0.001388,3.762807,1.403093,0.018571,1.421664,8.239191,0.001553,8.240743,1.428581,0.017821,1.446402,9.308563,0.001646,9.310209
100014,0.466667,0.466667,0.466667,0.466667,0.466667,0.466667,0.400000,0.400000,0.466667,0.466667,0.466667,0.466667,0.533333,0.533333,0.466667,0.466667,1.298035,0.022537,1.320572,2.158545,0.001441,2.159985,1.323740,0.021257,1.344997,3.761432,0.001476,3.762908,1.403106,0.019855,1.422961,8.239203,0.001662,8.240865,1.428595,0.018969,1.447564,9.308577,0.001758,9.310335
100015,0.437500,0.437500,0.437500,0.437500,0.437500,0.437500,0.375000,0.375000,0.437500,0.437500,0.437500,0.437500,0.500000,0.500000,0.437500,0.437500,1.298061,0.023750,1.321811,2.158561,0.001519,2.160080,1.323754,0.022465,1.346218,3.761445,0.001566,3.763010,1.403118,0.021017,1.424135,8.239216,0.001757,8.240973,1.428607,0.020154,1.448761,9.308590,0.001856,9.310445
