# TEST CONFIGURATION BEGIN
# FileStream(filename='hyper_f.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1] Adaptive4(learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 5] Adaptive4(learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1)
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 10] Adaptive4(learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1)
# [ensemble 15] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 15] Adaptive4(learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='max_depth_hyper.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 1],current_acc_[ensemble 1],mean_acc_[incremental 1],current_acc_[incremental 1],mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[incremental 5],current_acc_[incremental 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[incremental 10],current_acc_[incremental 10],mean_acc_[ensemble 15],current_acc_[ensemble 15],mean_acc_[incremental 15],current_acc_[incremental 15],training_time_[ensemble 1],testing_time_[ensemble 1],total_running_time_[ensemble 1],training_time_[incremental 1],testing_time_[incremental 1],total_running_time_[incremental 1],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[incremental 5],testing_time_[incremental 5],total_running_time_[incremental 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[incremental 10],testing_time_[incremental 10],total_running_time_[incremental 10],training_time_[ensemble 15],testing_time_[ensemble 15],total_running_time_[ensemble 15],training_time_[incremental 15],testing_time_[incremental 15],total_running_time_[incremental 15]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.373883,0.002066,1.375949,2.178182,0.000125,2.178307,1.374602,0.001775,1.376376,4.005775,0.000131,4.005905,1.470926,0.001762,1.472688,6.582157,0.000160,6.582317,1.830963,0.001770,1.832733,6.559820,0.000140,6.559959
100001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.373923,0.003522,1.377445,2.178202,0.000216,2.178418,1.374617,0.003003,1.377620,4.005789,0.000218,4.006007,1.470941,0.002927,1.473869,6.582174,0.000254,6.582428,1.830977,0.002945,1.833922,6.559836,0.000238,6.560073
100002,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.373948,0.004756,1.378703,2.178216,0.000295,2.178511,1.374631,0.004170,1.378801,4.005806,0.000302,4.006108,1.470955,0.004092,1.475046,6.582188,0.000352,6.582541,1.830991,0.004108,1.835099,6.559848,0.000333,6.560182
100003,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.373975,0.006152,1.380127,2.178233,0.000384,2.178616,1.374645,0.005494,1.380139,4.005819,0.000393,4.006212,1.470972,0.005417,1.476388,6.582202,0.000454,6.582656,1.831005,0.005310,1.836315,6.559863,0.000424,6.560287
100004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.374000,0.007389,1.381389,2.178254,0.000464,2.178719,1.374659,0.006670,1.381329,4.005833,0.000473,4.006306,1.470985,0.006582,1.477567,6.582216,0.000547,6.582762,1.831018,0.006480,1.837498,6.559876,0.000519,6.560395
100005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.374027,0.008616,1.382643,2.178270,0.000542,2.178812,1.374674,0.008006,1.382679,4.005847,0.000563,4.006409,1.470998,0.007748,1.478746,6.582229,0.000634,6.582863,1.831032,0.007642,1.838674,6.559889,0.000615,6.560504
100006,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.374051,0.009841,1.383892,2.178289,0.000622,2.178911,1.374687,0.009174,1.383860,4.005860,0.000644,4.006503,1.471010,0.008907,1.479917,6.582241,0.000725,6.582966,1.831043,0.008800,1.839844,6.559901,0.000704,6.560604
100007,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.374091,0.011967,1.386058,2.178312,0.000755,2.179067,1.374703,0.010478,1.385182,4.005875,0.000740,4.006615,1.471029,0.010107,1.481135,6.582255,0.000830,6.583085,1.831057,0.009997,1.841055,6.559915,0.000806,6.560722
100008,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.374121,0.013219,1.387340,2.178329,0.000837,2.179166,1.374720,0.011713,1.386432,4.005902,0.000830,4.006732,1.471043,0.011302,1.482344,6.582269,0.000924,6.583193,1.831072,0.011187,1.842259,6.559938,0.000938,6.560876
100009,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.374166,0.014692,1.388858,2.178349,0.000926,2.179275,1.374735,0.013029,1.387765,4.005918,0.000923,4.006841,1.471058,0.012583,1.483641,6.582286,0.001031,6.583317,1.831086,0.012503,1.843590,6.559952,0.001046,6.560998
