# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 1] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1] Adaptive4(learning_rate=0.2, max_depth=1, max_window_size=1000, min_window_size=1)
# [ensemble 5] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 5] Adaptive4(learning_rate=0.2, max_depth=5, max_window_size=1000, min_window_size=1)
# [ensemble 10] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 10] Adaptive4(learning_rate=0.2, max_depth=10, max_window_size=1000, min_window_size=1)
# [ensemble 15] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 15] Adaptive4(learning_rate=0.2, max_depth=15, max_window_size=1000, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='max_depth_sea.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 1],current_acc_[ensemble 1],mean_acc_[incremental 1],current_acc_[incremental 1],mean_acc_[ensemble 5],current_acc_[ensemble 5],mean_acc_[incremental 5],current_acc_[incremental 5],mean_acc_[ensemble 10],current_acc_[ensemble 10],mean_acc_[incremental 10],current_acc_[incremental 10],mean_acc_[ensemble 15],current_acc_[ensemble 15],mean_acc_[incremental 15],current_acc_[incremental 15],training_time_[ensemble 1],testing_time_[ensemble 1],total_running_time_[ensemble 1],training_time_[incremental 1],testing_time_[incremental 1],total_running_time_[incremental 1],training_time_[ensemble 5],testing_time_[ensemble 5],total_running_time_[ensemble 5],training_time_[incremental 5],testing_time_[incremental 5],total_running_time_[incremental 5],training_time_[ensemble 10],testing_time_[ensemble 10],total_running_time_[ensemble 10],training_time_[incremental 10],testing_time_[incremental 10],total_running_time_[incremental 10],training_time_[ensemble 15],testing_time_[ensemble 15],total_running_time_[ensemble 15],training_time_[incremental 15],testing_time_[incremental 15],total_running_time_[incremental 15]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.186042,0.002062,1.188104,1.954422,0.000154,1.954576,1.175592,0.002277,1.177869,3.621691,0.000151,3.621841,1.263219,0.001871,1.265090,5.633529,0.000144,5.633674,1.363139,0.001878,1.365017,6.134230,0.000157,6.134387
100001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.186074,0.003539,1.189613,1.954436,0.000243,1.954678,1.175602,0.003418,1.179021,3.621701,0.000249,3.621951,1.263228,0.003004,1.266233,5.633539,0.000243,5.633783,1.363149,0.003003,1.366152,6.134240,0.000254,6.134494
100002,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,1.186099,0.004718,1.190817,1.954450,0.000320,1.954770,1.175614,0.004538,1.180152,3.621713,0.000331,3.622044,1.263239,0.004124,1.267364,5.633550,0.000338,5.633888,1.363159,0.004120,1.367279,6.134251,0.000385,6.134636
100003,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,1.186127,0.006157,1.192284,1.954463,0.000418,1.954880,1.175625,0.005874,1.181499,3.621723,0.000424,3.622146,1.263249,0.005571,1.268820,5.633560,0.000449,5.634009,1.363169,0.005467,1.368636,6.134260,0.000490,6.134750
100004,0.800000,0.800000,0.600000,0.600000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,1.186152,0.007312,1.193465,1.954477,0.000496,1.954974,1.175638,0.006973,1.182611,3.621735,0.000505,3.622240,1.263260,0.006665,1.269925,5.633571,0.000542,5.634113,1.363179,0.006718,1.369897,6.134271,0.000607,6.134877
100005,0.833333,0.833333,0.666667,0.666667,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1.186176,0.008612,1.194788,1.954491,0.000582,1.955073,1.175649,0.008190,1.183838,3.621745,0.000599,3.622343,1.263270,0.007790,1.271060,5.633580,0.000632,5.634213,1.363189,0.007839,1.371027,6.134281,0.000709,6.134990
100006,0.857143,0.857143,0.714286,0.714286,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,1.186199,0.009774,1.195973,1.954503,0.000661,1.955165,1.175658,0.009291,1.184950,3.621754,0.000680,3.622434,1.263282,0.008894,1.272176,5.633590,0.000719,5.634310,1.363198,0.008943,1.372141,6.134289,0.000802,6.135091
100007,0.875000,0.875000,0.750000,0.750000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,1.186228,0.011145,1.197374,1.954517,0.000747,1.955264,1.175670,0.010419,1.186089,3.621765,0.000769,3.622533,1.263292,0.010015,1.273307,5.633600,0.000818,5.634418,1.363208,0.010064,1.373272,6.134299,0.000904,6.135203
100008,0.888889,0.888889,0.777778,0.777778,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,1.186253,0.012337,1.198589,1.954532,0.000825,1.955357,1.175681,0.011547,1.187229,3.621776,0.000862,3.622638,1.263303,0.011260,1.274563,5.633611,0.000915,5.634526,1.363218,0.011308,1.374527,6.134309,0.001020,6.135329
100009,0.900000,0.900000,0.800000,0.800000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,1.186275,0.013558,1.199833,1.954543,0.000908,1.955451,1.175692,0.012694,1.188385,3.621786,0.000945,3.622730,1.263312,0.012372,1.275684,5.633619,0.001002,5.634622,1.363227,0.012414,1.375641,6.134318,0.001113,6.135431
