# TEST CONFIGURATION BEGIN
# FileStream(filename='airlines.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 512] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 512] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1)
# [ensemble 1024] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1024] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1)
# [ensemble 2048] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 2048] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1)
# [ensemble 4096] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 4096] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1)
# [ensemble 8192] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 8192] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_airlines.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 512],current_acc_[ensemble 512],mean_acc_[incremental 512],current_acc_[incremental 512],mean_acc_[ensemble 1024],current_acc_[ensemble 1024],mean_acc_[incremental 1024],current_acc_[incremental 1024],mean_acc_[ensemble 2048],current_acc_[ensemble 2048],mean_acc_[incremental 2048],current_acc_[incremental 2048],mean_acc_[ensemble 4096],current_acc_[ensemble 4096],mean_acc_[incremental 4096],current_acc_[incremental 4096],mean_acc_[ensemble 8192],current_acc_[ensemble 8192],mean_acc_[incremental 8192],current_acc_[incremental 8192],training_time_[ensemble 512],testing_time_[ensemble 512],total_running_time_[ensemble 512],training_time_[incremental 512],testing_time_[incremental 512],total_running_time_[incremental 512],training_time_[ensemble 1024],testing_time_[ensemble 1024],total_running_time_[ensemble 1024],training_time_[incremental 1024],testing_time_[incremental 1024],total_running_time_[incremental 1024],training_time_[ensemble 2048],testing_time_[ensemble 2048],total_running_time_[ensemble 2048],training_time_[incremental 2048],testing_time_[incremental 2048],total_running_time_[incremental 2048],training_time_[ensemble 4096],testing_time_[ensemble 4096],total_running_time_[ensemble 4096],training_time_[incremental 4096],testing_time_[incremental 4096],total_running_time_[incremental 4096],training_time_[ensemble 8192],testing_time_[ensemble 8192],total_running_time_[ensemble 8192],training_time_[incremental 8192],testing_time_[incremental 8192],total_running_time_[incremental 8192]
100000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.720497,0.002308,1.722805,11.735389,0.000160,11.735549,1.369162,0.001831,1.370993,4.716631,0.000131,4.716762,1.309791,0.001762,1.311553,2.409775,0.000131,2.409906,1.388503,0.002344,1.390847,1.783252,0.000118,1.783370,1.840446,0.001382,1.841828,2.007385,0.000114,2.007499
100001,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.720532,0.003824,1.724357,11.735409,0.000288,11.735697,1.369178,0.003030,1.372208,4.716647,0.000232,4.716879,1.309820,0.002939,1.312759,2.409792,0.000219,2.410011,1.388523,0.003543,1.392066,1.783271,0.000196,1.783467,1.840466,0.002333,1.842798,2.007404,0.000193,2.007597
100002,0.333333,0.333333,0.666667,0.666667,0.666667,0.666667,0.000000,0.000000,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333,0.333333,1.720557,0.005071,1.725628,11.735421,0.000400,11.735820,1.369198,0.004340,1.373539,4.716661,0.000325,4.716986,1.309843,0.004100,1.313942,2.409833,0.000299,2.410133,1.388567,0.004702,1.393269,1.783326,0.000273,1.783599,1.840483,0.003351,1.843834,2.007423,0.000279,2.007703
100003,0.250000,0.250000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.250000,0.250000,0.250000,1.720591,0.006315,1.726906,11.735437,0.000508,11.735945,1.369214,0.005506,1.374720,4.716675,0.000418,4.717093,1.309862,0.005322,1.315184,2.409853,0.000391,2.410244,1.388584,0.006074,1.394658,1.783345,0.000372,1.783717,1.840505,0.004364,1.844870,2.007440,0.000359,2.007799
100004,0.200000,0.200000,0.600000,0.600000,0.400000,0.400000,0.200000,0.200000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.200000,0.200000,0.200000,0.200000,1.720611,0.007525,1.728136,11.735449,0.000620,11.736069,1.369232,0.006667,1.375899,4.716689,0.000508,4.717197,1.309882,0.006478,1.316360,2.409871,0.000473,2.410345,1.388600,0.007361,1.395961,1.783360,0.000458,1.783818,1.840521,0.005394,1.845916,2.007456,0.000441,2.007897
100005,0.166667,0.166667,0.500000,0.500000,0.333333,0.333333,0.166667,0.166667,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.166667,0.166667,0.166667,0.166667,1.720628,0.008734,1.729362,11.735460,0.000726,11.736186,1.369251,0.007811,1.377061,4.716709,0.000597,4.717306,1.309898,0.007611,1.317509,2.409887,0.000555,2.410442,1.388616,0.008490,1.397106,1.783374,0.000531,1.783905,1.840535,0.006312,1.846847,2.007469,0.000511,2.007980
100006,0.142857,0.142857,0.428571,0.428571,0.428571,0.428571,0.285714,0.285714,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.428571,0.285714,0.285714,0.285714,0.285714,1.720653,0.009969,1.730622,11.735472,0.000829,11.736300,1.369264,0.008950,1.378214,4.716721,0.000684,4.717406,1.309914,0.008864,1.318778,2.409905,0.000646,2.410551,1.388632,0.009703,1.398335,1.783391,0.000613,1.784004,1.840552,0.007258,1.847810,2.007485,0.000586,2.008071
100007,0.250000,0.250000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.375000,0.250000,0.250000,0.250000,0.250000,1.720679,0.011463,1.732142,11.735484,0.000950,11.736434,1.369287,0.010107,1.379394,4.716735,0.000781,4.717515,1.309935,0.010020,1.319955,2.409925,0.000729,2.410654,1.388650,0.010854,1.399504,1.783412,0.000692,1.784104,1.840570,0.008197,1.848767,2.007506,0.000659,2.008165
100008,0.333333,0.333333,0.444444,0.444444,0.444444,0.444444,0.444444,0.444444,0.444444,0.444444,0.444444,0.444444,0.333333,0.333333,0.444444,0.444444,0.333333,0.333333,0.333333,0.333333,1.720698,0.012689,1.733387,11.735496,0.001058,11.736554,1.369303,0.011356,1.380659,4.716747,0.000880,4.717627,1.309953,0.011187,1.321140,2.409942,0.000815,2.410757,1.388665,0.012010,1.400676,1.783431,0.000769,1.784200,1.840585,0.009133,1.849719,2.007533,0.000731,2.008265
100009,0.400000,0.400000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.400000,0.400000,0.400000,0.400000,0.500000,0.500000,0.400000,0.400000,0.400000,0.400000,1.720717,0.013921,1.734638,11.735507,0.001166,11.736673,1.369319,0.012506,1.381825,4.716760,0.000971,4.717731,1.309981,0.012331,1.322312,2.409962,0.000895,2.410857,1.388683,0.013156,1.401839,1.783446,0.000845,1.784291,1.840601,0.010059,1.850660,2.007552,0.000803,2.008356
