# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_a.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ensemble 512] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 512] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=512, min_window_size=1)
# [ensemble 1024] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 1024] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=1024, min_window_size=1)
# [ensemble 2048] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 2048] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=2048, min_window_size=1)
# [ensemble 4096] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 4096] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=4096, min_window_size=1)
# [ensemble 8192] AdaptiveXGBoostClassifier(detect_drift=False, learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1, n_estimators=30, update_strategy='replace')
# [incremental 8192] Adaptive4(learning_rate=0.2, max_depth=6, max_window_size=8192, min_window_size=1)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='mwindow_sea_a.txt', pretrain_size=100000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[ensemble 512],current_acc_[ensemble 512],mean_acc_[incremental 512],current_acc_[incremental 512],mean_acc_[ensemble 1024],current_acc_[ensemble 1024],mean_acc_[incremental 1024],current_acc_[incremental 1024],mean_acc_[ensemble 2048],current_acc_[ensemble 2048],mean_acc_[incremental 2048],current_acc_[incremental 2048],mean_acc_[ensemble 4096],current_acc_[ensemble 4096],mean_acc_[incremental 4096],current_acc_[incremental 4096],mean_acc_[ensemble 8192],current_acc_[ensemble 8192],mean_acc_[incremental 8192],current_acc_[incremental 8192],training_time_[ensemble 512],testing_time_[ensemble 512],total_running_time_[ensemble 512],training_time_[incremental 512],testing_time_[incremental 512],total_running_time_[incremental 512],training_time_[ensemble 1024],testing_time_[ensemble 1024],total_running_time_[ensemble 1024],training_time_[incremental 1024],testing_time_[incremental 1024],total_running_time_[incremental 1024],training_time_[ensemble 2048],testing_time_[ensemble 2048],total_running_time_[ensemble 2048],training_time_[incremental 2048],testing_time_[incremental 2048],total_running_time_[incremental 2048],training_time_[ensemble 4096],testing_time_[ensemble 4096],total_running_time_[ensemble 4096],training_time_[incremental 4096],testing_time_[incremental 4096],total_running_time_[incremental 4096],training_time_[ensemble 8192],testing_time_[ensemble 8192],total_running_time_[ensemble 8192],training_time_[incremental 8192],testing_time_[incremental 8192],total_running_time_[incremental 8192]
100000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.660587,0.002201,1.662787,9.373283,0.000148,9.373431,1.216848,0.002006,1.218855,3.899005,0.000134,3.899139,1.053646,0.001748,1.055394,2.099202,0.000120,2.099322,1.110763,0.002377,1.113140,1.452058,0.000147,1.452205,1.284417,0.002336,1.286753,1.440048,0.000133,1.440181
100001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.660611,0.003645,1.664256,9.373294,0.000292,9.373586,1.216873,0.003432,1.220305,3.899016,0.000252,3.899269,1.053679,0.003161,1.056839,2.099216,0.000212,2.099427,1.110776,0.003513,1.114289,1.452070,0.000225,1.452295,1.284429,0.003252,1.287681,1.440062,0.000206,1.440268
100002,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,1.660631,0.004827,1.665458,9.373305,0.000400,9.373705,1.216887,0.004807,1.221694,3.899027,0.000350,3.899377,1.053697,0.004701,1.058398,2.099229,0.000306,2.099535,1.110790,0.004788,1.115578,1.452082,0.000310,1.452393,1.284443,0.004348,1.288790,1.440074,0.000290,1.440364
100003,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,0.750000,1.660650,0.006174,1.666824,9.373316,0.000511,9.373827,1.216899,0.006085,1.222984,3.899037,0.000448,3.899485,1.053713,0.005972,1.059685,2.099242,0.000390,2.099632,1.110802,0.006163,1.116965,1.452096,0.000394,1.452490,1.284455,0.005361,1.289816,1.440087,0.000368,1.440455
100004,0.800000,0.800000,0.600000,0.600000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,1.660668,0.007394,1.668062,9.373327,0.000616,9.373943,1.216911,0.007460,1.224371,3.899048,0.000543,3.899591,1.053730,0.007374,1.061104,2.099255,0.000481,2.099736,1.110815,0.007418,1.118234,1.452108,0.000476,1.452584,1.284473,0.006380,1.290853,1.440100,0.000446,1.440546
100005,0.833333,0.833333,0.666667,0.666667,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,1.660686,0.008586,1.669272,9.373337,0.000717,9.374054,1.216922,0.008576,1.225498,3.899058,0.000626,3.899684,1.053745,0.008492,1.062236,2.099268,0.000555,2.099823,1.110828,0.008644,1.119473,1.452120,0.000560,1.452681,1.284485,0.007403,1.291888,1.440112,0.000524,1.440636
100006,0.857143,0.857143,0.714286,0.714286,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,0.857143,1.660703,0.009947,1.670649,9.373347,0.000824,9.374170,1.216933,0.009860,1.226793,3.899068,0.000710,3.899778,1.053758,0.009610,1.063368,2.099280,0.000629,2.099908,1.110840,0.009771,1.120611,1.452132,0.000633,1.452765,1.284497,0.008303,1.292800,1.440127,0.000595,1.440722
100007,0.875000,0.875000,0.750000,0.750000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,0.875000,1.660726,0.011311,1.672037,9.373357,0.000941,9.374299,1.216946,0.010993,1.227939,3.899078,0.000801,3.899879,1.053775,0.010735,1.064510,2.099292,0.000711,2.100003,1.110859,0.010885,1.121744,1.452146,0.000707,1.452853,1.284514,0.009217,1.293730,1.440142,0.000667,1.440809
100008,0.888889,0.888889,0.777778,0.777778,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,1.660743,0.012487,1.673230,9.373367,0.001041,9.374408,1.216956,0.012109,1.229066,3.899088,0.000888,3.899976,1.053789,0.011848,1.065637,2.099308,0.000786,2.100094,1.110875,0.012004,1.122879,1.452157,0.000786,1.452943,1.284525,0.010110,1.294635,1.440153,0.000738,1.440891
100009,0.900000,0.900000,0.800000,0.800000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,1.660760,0.013683,1.674443,9.373376,0.001139,9.374516,1.216980,0.013228,1.230208,3.899105,0.000968,3.900073,1.053804,0.012966,1.066770,2.099320,0.000860,2.100180,1.110889,0.013111,1.124000,1.452168,0.000858,1.453027,1.284536,0.011012,1.295548,1.440164,0.000808,1.440972
